"Gene_id","A02","A03","A04","A05","A06","A07","A09","A10","B01","B02","B03","B04","B05","B06","B07","B09","B10","C01","C02","C03","C04","C05","C07","C09","C10","D01","D02","D04","D05","D06","D07","D09","D10","E01","E02","E03","E05","E07","E09","E10","F01","F02","F03","F04","F05","F06","F07","F09","G01","G02","G03","G05","G06","G07","G09","G10","H01","H02","H03","H09","H10"
"ENSMUSG00000036768",619,1894,807,1110,79,336,441,617,568,1672,1391,937,620,0,263,214,1,1063,158,475,321,490,1334,359,376,321,1670,1058,113,0,375,1215,147,2359,193,14,2000,412,51,489,1038,894,6,175,1,699,600,0,1071,309,0,714,1382,986,4,1,682,1,80,485,286
"ENSMUSG00000042670",0,624,619,281,0,286,720,675,0,303,314,207,354,346,152,243,2408,1056,629,654,885,164,1,266,313,187,581,447,282,0,44,363,477,345,520,536,160,348,0,33,0,704,1160,100,10,0,101,144,544,1903,920,469,214,1258,455,420,3236,523,613,168,242
"ENSMUSG00000024145",2924,1901,1123,1873,808,240,1554,895,471,503,2042,642,81,0,224,0,0,820,720,0,667,254,280,1140,1393,581,49,1111,517,510,157,664,275,636,1444,353,1762,811,1231,341,804,736,362,388,434,47,617,576,359,518,743,389,924,646,829,742,2278,401,486,627,4
"ENSMUSG00000021893",0,1047,20,3,114,1615,0,836,720,0,117,157,2,0,15,3,661,1417,88,2,580,0,221,268,208,0,56,0,144,224,0,0,0,0,0,1172,0,152,37,188,0,0,316,32,0,781,0,12,1172,513,3146,0,0,1606,165,0,0,0,127,1116,633
"ENSMUSG00000032369",1843,0,576,445,391,187,336,96,0,0,170,0,0,172,107,184,1670,51,2,185,496,0,282,69,385,336,0,544,230,0,284,340,465,0,121,0,0,318,18,195,0,208,12,407,2,0,94,0,208,231,3625,953,0,288,304,80,327,0,157,949,20
"ENSMUSG00000015837",234,1421,2008,1916,250,3320,1289,152,601,137,690,1166,556,151,610,577,375,412,1163,1130,273,123,447,0,1,243,170,533,680,39,83,551,479,24,28,844,5,173,615,31,0,24,528,282,520,852,189,1053,35,471,2052,228,0,165,1074,686,230,0,1147,6,296
"ENSMUSG00000039748",511,721,291,1245,492,125,8,186,449,412,0,96,178,24,524,1111,1504,2361,848,341,659,127,272,108,456,292,1,0,1109,73,0,289,1556,663,604,1245,502,519,14,416,77,637,780,1317,59,0,253,0,159,543,2,0,0,780,667,0,1441,1362,1013,1794,2548
"ENSMUSG00000052299",1014,2616,715,2288,98,853,67,318,2,326,573,352,1342,1479,1507,79,0,126,3050,5,249,1068,455,995,113,789,34,487,964,45,155,303,2,1609,11,633,0,132,3,643,10,2,241,283,0,97,10,15,615,814,8,0,0,645,0,868,278,49,0,1707,6
"ENSMUSG00000017615",3064,735,576,99,535,664,357,471,0,260,220,40,0,538,565,280,0,1318,368,982,223,508,80,0,959,0,272,0,1072,517,0,275,45,890,122,139,95,180,377,999,374,68,43,549,742,0,132,599,385,770,1965,616,204,644,688,759,565,305,97,91,222
"ENSMUSG00000032939",568,746,3106,340,164,1112,2301,454,127,910,823,2512,76,870,1572,905,331,1255,1664,1110,1258,735,894,1293,630,1060,1249,0,857,460,0,1369,2414,81,445,888,960,21,0,718,514,773,880,906,651,13,125,91,78,229,995,283,731,929,0,37,401,223,90,836,829
"ENSMUSG00000042208",0,2919,461,0,376,0,0,8,804,0,205,0,0,0,179,146,43,0,25,13,0,0,0,0,196,8,236,0,0,0,0,0,0,616,0,415,0,0,56,0,0,131,491,0,0,0,404,477,841,0,1490,0,0,0,0,506,0,0,0,50,90
"ENSMUSG00000027710",319,698,1441,1317,665,384,24,1173,1376,93,677,26,342,1160,570,158,1762,268,70,1269,1485,717,961,0,114,70,41,0,54,1,133,493,0,655,0,375,3107,299,1,665,2080,522,3,1,259,0,0,763,49,113,315,392,1134,0,965,1041,251,452,1865,0,262
"ENSMUSG00000092416",1824,1466,0,0,263,0,0,766,0,37,5,1111,815,7,25,1208,0,4,2797,0,591,821,1504,211,33,519,0,0,0,29,1,129,49,133,517,829,187,2,124,178,1251,877,121,0,0,258,2,6,0,0,0,0,0,0,0,11,0,0,0,681,0
"ENSMUSG00000051329",0,18,0,2075,1332,248,791,0,656,686,983,1298,146,264,611,1203,0,1541,876,977,2871,1749,1768,33,1499,34,840,878,583,1232,102,11,1312,0,730,379,1,417,752,1067,72,1126,1154,301,133,180,531,513,1329,43,45,2443,699,783,882,676,875,437,1992,1564,0
"ENSMUSG00000040359",14,2170,464,836,562,280,896,12,420,950,1,258,187,184,316,125,2163,1084,409,1081,314,631,189,1538,101,26,1011,0,6,6,226,620,97,2201,76,81,0,360,0,204,1,0,94,985,829,4,860,0,906,1128,0,0,864,0,1675,357,782,138,0,557,386
"ENSMUSG00000030103",349,0,141,269,0,1608,917,0,0,283,918,0,0,64,0,0,0,0,0,577,150,0,0,0,501,267,8,218,0,0,385,115,0,0,0,1,0,30,0,0,0,228,0,121,169,0,0,0,0,923,5212,1146,0,0,551,201,1011,75,0,422,0
"ENSMUSG00000021585",83,102,152,646,168,247,714,1011,587,262,1419,48,0,31,0,402,142,10,0,121,230,454,272,660,216,365,198,80,0,0,150,277,115,1341,266,1,290,133,593,0,0,380,74,396,235,37,6,161,68,562,3419,673,101,0,4,810,503,0,1994,499,0
"ENSMUSG00000018920",3685,0,645,456,0,421,2423,0,0,0,108,0,0,136,0,0,0,257,0,642,153,0,0,85,243,28,0,0,0,0,217,4,18,0,1665,0,0,2,0,42,0,400,521,61,216,3,0,150,154,38,3210,255,0,0,2,2,450,0,0,1208,0
"ENSMUSG00000038393",57,206,449,80,215,0,0,167,266,1037,367,551,136,0,422,172,231,0,0,57,134,508,0,121,0,528,0,59,0,64,234,274,553,0,105,2,18,696,414,1108,0,297,2894,386,0,0,8,524,0,0,2357,0,0,1087,1804,647,0,739,0,70,608
"ENSMUSG00000040044",642,1325,762,744,901,602,2225,1595,3049,480,11,816,95,876,547,273,0,35,0,1222,2,1700,25,271,1416,6,389,252,711,0,285,636,513,755,219,1990,763,734,132,171,0,1075,341,605,1436,153,1226,922,2094,5,1233,129,66,155,0,2086,222,1129,0,1334,130
"ENSMUSG00000019814",2033,699,1038,0,874,376,1662,1904,1298,1000,868,520,270,0,347,816,1616,477,398,90,1121,1316,648,740,1189,137,188,2003,406,1166,0,158,115,1200,1821,631,1050,557,10,1136,8,387,523,77,88,0,199,801,1416,1,953,128,0,789,305,1745,692,2595,250,608,2117
"ENSMUSG00000041957",3117,228,2697,509,1593,551,444,427,771,379,190,21,0,758,295,12,1213,1026,691,1254,714,457,0,717,1764,0,138,1059,67,4,12,480,14,0,902,18,0,791,137,109,0,502,116,41,560,34,0,370,540,262,3719,1084,605,1038,853,1610,866,37,508,180,300
"ENSMUSG00000021871",3,64,429,1262,537,28,173,1352,1,290,900,309,67,0,355,885,2694,1504,414,376,261,2806,222,704,473,471,303,1036,626,32,222,519,404,2,1504,204,575,214,0,316,8,355,566,326,349,101,238,267,556,63,409,452,171,161,0,362,1102,0,2,1006,850
"ENSMUSG00000038943",289,10,11,161,632,824,136,993,327,1888,1980,1099,0,0,645,81,0,20,303,203,1087,119,2235,667,1278,135,1134,447,128,117,0,0,2,420,37,303,1420,188,1754,10,308,0,103,83,878,0,1119,2,1187,0,254,527,101,84,2,0,1125,0,1648,1596,2
"ENSMUSG00000028678",0,0,623,0,329,55,773,883,22,570,422,366,177,0,150,1057,1,865,0,0,1347,903,710,1,311,505,683,2317,223,0,56,0,0,618,194,2018,593,178,81,30,176,617,206,0,211,0,142,1,548,0,0,0,264,0,0,0,693,0,4429,788,270
"ENSMUSG00000025153",0,510,22,1814,1804,13,994,1808,490,781,694,141,179,879,791,315,0,321,455,242,917,335,599,2493,5,164,324,731,910,278,784,1938,490,0,972,1530,999,1595,1053,1240,0,341,578,784,624,2260,884,1421,501,703,35,1,353,1409,283,897,0,218,0,411,0
"ENSMUSG00000040331",1594,877,897,1439,797,235,1694,671,618,1554,423,1819,1693,0,566,2186,0,1799,0,676,312,146,599,94,546,444,568,2413,334,1423,263,805,1072,268,491,1680,501,683,138,51,1125,3,482,572,252,0,949,384,597,204,0,1096,564,1008,0,566,335,1268,1959,203,395
"ENSMUSG00000019773",0,476,974,1288,822,94,118,963,576,1265,415,857,341,0,409,1849,474,215,1618,1651,0,322,471,1015,374,1367,1004,2203,442,2,216,412,10,570,7,1764,1345,99,21,866,1732,360,113,540,432,215,287,0,1484,557,0,134,915,1747,0,0,688,2316,149,1180,894
"ENSMUSG00000020467",3554,4,468,774,0,474,135,0,4,2485,1200,0,0,109,0,0,0,0,0,606,0,0,0,0,0,54,481,50,0,0,235,194,10,0,106,0,0,431,0,0,0,1143,13,2316,1632,0,0,3,670,0,0,13,935,1014,26,447,175,0,0,327,0
"ENSMUSG00000068699",315,0,0,2002,0,1092,2861,299,0,0,1989,0,0,0,91,163,0,544,0,961,49,0,54,0,794,0,0,0,0,0,6,75,0,0,889,0,4,608,0,0,0,877,0,417,0,829,0,116,551,153,2666,41,0,0,0,490,855,0,0,14,0
"ENSMUSG00000025495",147,2356,34,1155,23,0,0,1330,597,45,0,598,0,1324,508,754,12,233,96,369,59,0,7,1238,407,213,645,0,348,278,0,1118,1881,0,10,915,160,313,67,833,0,1268,0,0,954,148,373,53,391,566,1141,878,590,2,0,2222,0,2431,588,0,1294
